# Number of sources: 18450
# RA (deg), Dec (deg), I (Jy), Q (Jy), U (Jy), V (Jy), Ref. freq. (Hz), Spectral index, Rotation measure (rad/m^2), FWHM major (arcsec), FWHM minor (arcsec), Position angle (deg)
 356.116608, -35.536682, 2.641575e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.540379e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.839996, -35.107235, 3.608762e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.593844e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.456421, -35.533333, 1.030767e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.101646e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.064423, -35.135220, 3.773023e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.284462e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.329742, -35.078899, 1.144085e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.934474e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.784821, -35.209187, 2.500098e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.826141e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.145081, -35.266281, 1.200490e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-4.467873e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.919525, -35.245895, 1.909554e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.257410e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.873077, -35.287437, 1.918730e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.030741e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.032440, -35.015316, 1.417929e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.073710e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
